# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_ncdm[1]        15:(.)p_ncdm[1]          16:(.)rho_ncdm[2]        17:(.)p_ncdm[2]          18:(.)rho_lambda         19:(.)rho_ur             20:(.)rho_crit           21:(.)rho_tot            22:(.)p_tot              23:(.)p_tot_prime        24:gr.fac. D             25:gr.fac. f          
       8.697823467967e+13       8.415751101571e-26       4.489265847951e-09       1.937773429565e+22       1.389086530606e+04       1.597050728521e-10       1.208202942494e+18       2.591474650227e-09       1.574785573594e+44       1.613036830811e+33       8.813424731891e+33       3.635975410125e+43       1.211991803375e+43       3.635975410125e+43       1.211991803375e+43       3.635975410125e+43       1.211991803375e+43       3.421715905403e-08       1.089387667592e+44       3.754965864328e+44       3.754965864328e+44       1.251655288075e+44      -1.115416687468e+53       2.424690036476e-06       7.167828077819e+00 
       8.637361934426e+13       8.533983988797e-26       4.520188667811e-09       1.910926818689e+22       1.389086530606e+04       1.608230083620e-10       1.199804312308e+18       2.609614972778e-09       1.531452550306e+44       1.579631815005e+33       8.630904043680e+33       3.535925085964e+43       1.178641695321e+43       3.535925085964e+43       1.178641695321e+43       3.535925085964e+43       1.178641695321e+43       3.421715905403e-08       1.059411230189e+44       3.651641306386e+44       3.651641306386e+44       1.217213768761e+44      -1.077183729228e+53       2.545924538300e-06       6.826502931256e+00 
       8.577320689599e+13       8.653877929855e-26       4.551111487672e-09       1.884452150428e+22       1.389086530606e+04       1.619487694206e-10       1.191464063861e+18       2.627882277588e-09       1.489311912151e+44       1.546918596845e+33       8.452163248374e+33       3.438627824251e+43       1.146209274750e+43       3.438627824251e+43       1.146209274750e+43       3.438627824251e+43       1.146209274750e+43       3.421715905403e-08       1.030259647727e+44       3.551159907253e+44       3.551159907253e+44       1.183719969051e+44      -1.040261275943e+53       2.667159040124e-06       6.516207343471e+00 
       8.517696811915e+13       8.775456260892e-26       4.583853296936e-09       1.858344271754e+22       1.389086530606e+04       1.630824108065e-10       1.183181791322e+18       2.646277453531e-09       1.448330848536e+44       1.514882849619e+33       8.277124066682e+33       3.344007869581e+43       1.114669289860e+43       3.344007869581e+43       1.114669289860e+43       3.344007869581e+43       1.114669289860e+43       3.421715905403e-08       1.001910222855e+44       3.453443432363e+44       3.453443432363e+44       1.151147810755e+44      -1.004604407645e+53       2.788393541948e-06       6.232893980711e+00 
       8.458487400115e+13       8.898742645901e-26       4.614776116796e-09       1.832598101033e+22       1.389086530606e+04       1.642239876821e-10       1.174957091680e+18       2.664801395705e-09       1.408477451704e+44       1.483510543315e+33       8.105709840428e+33       3.251991551094e+43       1.083997183698e+43       3.251991551094e+43       1.083997183698e+43       3.251991551094e+43       1.083997183698e+43       3.421715905403e-08       9.743408827823e+43       3.358415799911e+44       3.358415799911e+44       1.119471933272e+44      -9.701697440825e+52       2.909628043771e-06       5.973190064848e+00 
       8.399689573103e+13       9.023761081333e-26       4.647517926060e-09       1.807208627032e+22       1.389086530606e+04       1.653735555959e-10       1.166789564727e+18       2.683455005475e-09       1.369720691902e+44       1.452787938474e+33       7.937845498980e+33       3.162507225114e+43       1.054169075038e+43       3.162507225114e+43       1.054169075038e+43       3.162507225114e+43       1.054169075038e+43       3.421715905403e-08       9.475301620897e+43       3.266003021620e+44       3.266003021620e+44       1.088667673842e+44      -9.369153919395e+52       3.030862545595e-06       5.734262462254e+00 
       8.341300469814e+13       9.150535900764e-26       4.680259735323e-09       1.782170907947e+22       1.389086530606e+04       1.665311704851e-10       1.158678813036e+18       2.702239190513e-09       1.332030393213e+44       1.422701580172e+33       7.773457526374e+33       3.075485219367e+43       1.025161739789e+43       3.075485219367e+43       1.025161739789e+43       3.075485219367e+43       1.025161739789e+43       3.421715905403e-08       9.214571860169e+43       3.176133145132e+44       3.176133145132e+44       1.058711048347e+44      -9.048008938716e+52       3.152097047419e-06       5.513713906014e+00 
       8.283317249071e+13       9.279091779634e-26       4.713001544587e-09       1.757480070437e+22       1.389086530606e+04       1.676968886785e-10       1.150624441942e+18       2.721154864847e-09       1.295377210063e+44       1.393238292127e+33       7.612473929117e+33       2.990857778738e+43       9.969525929125e+42       2.990857778738e+43       9.969525929125e+42       2.990857778738e+43       9.969525929125e+42       3.421715905403e-08       8.961016542097e+43       3.088736197984e+44       3.088736197984e+44       1.029578732631e+44      -8.737871792844e+52       3.273331549242e-06       5.309502279865e+00 
       8.225737089444e+13       9.409453740046e-26       4.745743353851e-09       1.733131308682e+22       1.389086530606e+04       1.688707668992e-10       1.142626059525e+18       2.740202948901e-09       1.259732604377e+44       1.364385170934e+33       7.454824204656e+33       2.908559012511e+43       9.695196708371e+42       2.908559012511e+43       9.695196708371e+42       2.908559012511e+43       9.695196708371e+42       3.421715905403e-08       8.714438249143e+43       3.003744133133e+44       3.003744133133e+44       1.001248044348e+44      -8.438365167996e+52       3.394566051066e-06       5.119877198441e+00 
       8.168557189121e+13       9.541647155639e-26       4.778485163115e-09       1.709119883440e+22       1.389086530606e+04       1.700528622675e-10       1.134683276589e+18       2.759384369543e-09       1.225068823354e+44       1.336129580404e+33       7.300439310506e+33       2.828524843074e+43       9.428416143580e+42       2.828524843074e+43       9.428416143580e+42       2.828524843074e+43       9.428416143580e+42       3.421715905403e-08       8.474644996064e+43       2.921090775968e+44       2.921090775968e+44       9.736969252940e+43      -8.149124683514e+52       3.515800552890e-06       4.943329708840e+00 
       8.111774765760e+13       9.675697756528e-26       4.813045961782e-09       1.685441121129e+22       1.389086530606e+04       1.712432323034e-10       1.126795706643e+18       2.778700060130e-09       1.191358877859e+44       1.308459146041e+33       7.149251634008e+33       2.750692956021e+43       9.168976520070e+42       2.750692956021e+43       9.168976520070e+42       2.750692956021e+43       9.168976520070e+42       3.421715905403e-08       8.241450080431e+43       2.840711772793e+44       2.840711772793e+44       9.469039242360e+43      -7.869798448557e+52       3.637035054713e-06       4.778552051878e+00 
       8.055387056366e+13       9.811631634310e-26       4.845787771046e-09       1.662090412918e+22       1.389086530606e+04       1.724419349295e-10       1.118962965882e+18       2.798150960550e-09       1.158576521413e+44       1.281361749615e+33       7.001194962722e+33       2.675002751640e+43       8.916675838799e+42       2.675002751640e+43       8.916675838799e+42       2.675002751640e+43       8.916675838799e+42       3.421715905403e-08       8.014671937265e+43       2.762544540714e+44       2.762544540714e+44       9.208481802104e+43      -7.600046633992e+52       3.758269556537e-06       4.624405211495e+00 
       7.999391317146e+13       9.949475247140e-26       4.880348569714e-09       1.639063213827e+22       1.389086530606e+04       1.736490284740e-10       1.111184673169e+18       2.817738017274e-09       1.126696229756e+44       1.254825523857e+33       6.856204455425e+33       2.601395297726e+43       8.671317659085e+42       2.601395297726e+43       8.671317659085e+42       2.601395297726e+43       8.671317659085e+42       3.421715905403e-08       7.794133997669e+43       2.686528218922e+44       2.686528218922e+44       8.955094062801e+43      -7.339541058950e+52       3.879504058361e-06       4.479892548636e+00 
       7.943784823382e+13       1.008925542489e-25       4.914909368381e-09       1.616355041844e+22       1.389086530606e+04       1.748645716733e-10       1.103460450019e+18       2.837462183395e-09       1.095693180972e+44       1.228838847262e+33       6.714216613718e+33       2.529813283699e+43       8.432710945662e+42       2.529813283699e+43       8.432710945662e+42       2.529813283699e+43       8.432710945662e+42       3.421715905403e-08       7.579664551354e+43       2.612603621296e+44       2.612603621296e+44       8.708678737389e+43      -7.087964791569e+52       4.000738560184e-06       4.344138228980e+00 
       7.888564869297e+13       1.023099937435e-25       4.949470167048e-09       1.593961477054e+22       1.389086530606e+04       1.760886236751e-10       1.095789920575e+18       2.857324418679e-09       1.065543236164e+44       1.203390339001e+33       6.575169254216e+33       2.460200975982e+43       8.200669919939e+42       2.460200975982e+43       8.200669919939e+42       2.460200975982e+43       8.200669919939e+42       3.421715905403e-08       7.371096612945e+43       2.540713190331e+44       2.540713190331e+44       8.469043967510e+43      -6.845011763406e+52       4.121973062008e-06       4.216369457540e+00 
