# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_ncdm[1]        15:(.)p_ncdm[1]          16:(.)rho_ncdm[2]        17:(.)p_ncdm[2]          18:(.)rho_lambda         19:(.)rho_ur             20:(.)rho_crit           21:(.)rho_tot            22:(.)p_tot              23:(.)p_tot_prime        24:gr.fac. D             25:gr.fac. f          
       7.565213307992e+13       1.320665570095e-25       6.126356311142e-09       1.234818204076e+22       1.406357407903e+04       1.858979186241e-10       1.063939377806e+18       3.537182984057e-09       9.012884037369e+43       1.071412997619e+33       5.612392725837e+33       2.073918451983e+43       6.913061506610e+42       2.073918451983e+43       6.913061506610e+42       2.073918451983e+43       6.913061506610e+42       3.514163029955e-08       1.312057719508e+41       1.524775997118e+44       1.524775997118e+44       5.082586656838e+43      -3.318383909164e+52       3.634642314297e-06       3.583914038907e+00 
       7.512624933457e+13       1.339219600689e-25       6.170012056828e-09       1.217710588025e+22       1.406357407903e+04       1.871992040544e-10       1.056543572796e+18       3.561943264945e-09       8.764878518120e+43       1.049224683356e+33       5.496163471717e+33       2.016850900638e+43       6.722836335461e+42       2.016850900638e+43       6.722836335461e+42       2.016850900638e+43       6.722836335461e+42       3.514163029955e-08       1.275954119965e+41       1.482819076189e+44       1.482819076189e+44       4.942730253745e+43      -3.204640198093e+52       3.725508372154e-06       3.496501501373e+00 
       7.460402118627e+13       1.358034296859e-25       6.211848813109e-09       1.200839987047e+22       1.406357407903e+04       1.885095984828e-10       1.049199178546e+18       3.586876867799e-09       8.523697311413e+43       1.027495875643e+33       5.382341255053e+33       1.961353664372e+43       6.537845547907e+42       1.961353664372e+43       6.537845547907e+42       1.961353664372e+43       6.537845547907e+42       3.514163029955e-08       1.240843975116e+41       1.442016674492e+44       1.442016674492e+44       4.806722248093e+43      -3.094795261896e+52       3.816374430012e-06       3.413251465626e+00 
       7.408542322370e+13       1.377113320695e-25       6.255504558794e-09       1.184203117451e+22       1.406357407903e+04       1.898291656722e-10       1.041905837683e+18       3.611985005874e-09       8.289152634162e+43       1.006217058377e+33       5.270876227558e+33       1.907383533175e+43       6.357945110582e+42       1.907383533175e+43       6.357945110582e+42       1.907383533175e+43       6.357945110582e+42       3.514163029955e-08       1.206699948290e+41       1.402337023380e+44       1.402337023380e+44       4.674456744390e+43      -2.988715462894e+52       3.907240487869e-06       3.333873524565e+00 
       7.357043021222e+13       1.396460385738e-25       6.299160304479e-09       1.167796741036e+22       1.406357407903e+04       1.911579698319e-10       1.034663195315e+18       3.637268900915e-09       8.061061870468e+43       9.853789125286e+32       5.161719573272e+33       1.854898486036e+43       6.182994953455e+42       1.854898486036e+43       6.182994953455e+42       1.854898486036e+43       6.182994953455e+42       3.514163029955e-08       1.173495455032e+41       1.363749228374e+44       1.363749228374e+44       4.545830761042e+43      -2.886271744087e+52       3.998106545726e-06       3.258103671734e+00 
       7.305901709257e+13       1.416079257697e-25       6.344635039568e-09       1.151617664468e+22       1.406357407903e+04       1.924960756207e-10       1.027470899022e+18       3.662729783221e-09       7.839247429430e+43       9.649723120599e+32       5.054823487184e+33       1.803857658231e+43       6.012858860769e+42       1.803857658231e+43       6.012858860769e+42       1.803857658231e+43       6.012858860769e+42       3.514163029955e-08       1.141204642407e+41       1.326223245115e+44       1.326223245115e+44       4.420744150182e+43      -2.787339472138e+52       4.088972603584e-06       3.185701367918e+00 
       7.255115897971e+13       1.435973755188e-25       6.388290785253e-09       1.135662738653e+22       1.406357407903e+04       1.938435481501e-10       1.020328598830e+18       3.688368891703e-09       7.623536606878e+43       9.449883199274e+32       4.950141154296e+33       1.754221309496e+43       5.847404364988e+42       1.754221309496e+43       5.847404364988e+42       1.754221309496e+43       5.847404364988e+42       3.514163029955e-08       1.109802368868e+41       1.289729855965e+44       1.289729855965e+44       4.299099519685e+43      -2.691798285749e+52       4.179838661441e-06       3.116446990354e+00 
       7.204683116158e+13       1.456147750475e-25       6.433765520342e-09       1.119928858125e+22       1.406357407903e+04       1.952004529871e-10       1.013235947200e+18       3.714187473945e-09       7.413761450905e+43       9.254181841684e+32       4.847626729119e+33       1.705950793096e+43       5.686502643653e+42       1.705950793096e+43       5.686502643653e+42       1.705950793096e+43       5.686502643653e+42       3.514163029955e-08       1.079264184685e+41       1.254240647262e+44       1.254240647262e+44       4.180802157347e+43      -2.599531949226e+52       4.270704719298e-06       3.050139607581e+00 
       7.154600909790e+13       1.476605170221e-25       6.477421266027e-09       1.104412960444e+22       1.406357407903e+04       1.965668561580e-10       1.006192599007e+18       3.740186786262e-09       7.209758631098e+43       9.062533340679e+32       4.747235315599e+33       1.659008525726e+43       5.530028419087e+42       1.659008525726e+43       5.530028419087e+42       1.659008525726e+43       5.530028419087e+42       3.514163029955e-08       1.049566312903e+41       1.219727987197e+44       1.219727987197e+44       4.065759957135e+43      -2.510428211067e+52       4.361570777156e-06       2.986595032423e+00 
       7.104866841896e+13       1.497349996257e-25       6.522896001115e-09       1.089112025597e+22       1.406357407903e+04       1.979428241511e-10       9.991982115263e+17       3.766368093766e-09       7.011369311369e+43       8.874853764056e+32       4.648922947448e+33       1.613357958254e+43       5.377859860848e+42       1.613357958254e+43       5.377859860848e+42       1.613357958254e+43       5.377859860848e+42       3.514163029955e-08       1.020685630833e+41       1.186165004299e+44       1.186165004299e+44       3.953883347480e+43      -2.424378667397e+52       4.452436835013e-06       2.925644113394e+00 
