# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_ncdm[1]        15:(.)p_ncdm[1]          16:(.)rho_ncdm[2]        17:(.)p_ncdm[2]          18:(.)rho_lambda         19:(.)rho_ur             20:(.)rho_crit           21:(.)rho_tot            22:(.)p_tot              23:(.)p_tot_prime        24:gr.fac. D             25:gr.fac. f          
       8.283317249071e+13       9.283657162061e-26       4.714820533991e-09       1.756615802349e+22       1.379901141108e+04       1.665879863846e-10       1.143015892415e+18       2.722493693355e-09       1.295377210063e+44       1.406391594813e+33       7.732624290184e+33       2.980724236004e+43       9.935747453346e+42       2.980724236004e+43       9.935747453346e+42       2.980724236004e+43       9.935747453346e+42       3.449631827055e-08       8.961045961061e+43       3.085699077062e+44       3.085699077062e+44       1.028566358990e+44      -8.724987179113e+52       3.220276571511e-06       5.309502279865e+00 
       8.225737089444e+13       9.414083261530e-26       4.749381332658e-09       1.732279014475e+22       1.379901141108e+04       1.677541022893e-10       1.135070399618e+18       2.741551149208e-09       1.259732604377e+44       1.377266076687e+33       7.572486324517e+33       2.898704312212e+43       9.662347707373e+42       2.898704312212e+43       9.662347707373e+42       2.898704312212e+43       9.662347707373e+42       3.449631827055e-08       8.714466858592e+43       3.000790583990e+44       3.000790583990e+44       1.000263527967e+44      -8.425922198095e+52       3.339546074160e-06       5.119877198441e+00 
       8.168557189121e+13       9.546341717271e-26       4.782123141922e-09       1.708279397223e+22       1.379901141108e+04       1.689283810053e-10       1.127180138647e+18       2.760742007252e-09       1.225068823354e+44       1.348743730401e+33       7.415664719129e+33       2.818941312364e+43       9.396471041214e+42       2.818941312364e+43       9.396471041214e+42       2.818941312364e+43       9.396471041214e+42       3.449631827055e-08       8.474672818273e+43       2.918218498978e+44       2.918218498978e+44       9.727394996300e+43      -8.137108219290e+52       3.458815576808e-06       4.943329708840e+00 
       8.111774765760e+13       9.680458272057e-26       4.814864951186e-09       1.684612279311e+22       1.379901141108e+04       1.701108796724e-10       1.119344725568e+18       2.780067201303e-09       1.191358877859e+44       1.320812064632e+33       7.262090794206e+33       2.741373133188e+43       9.137910443959e+42       2.741373133188e+43       9.137910443959e+42       2.741373133188e+43       9.137910443959e+42       3.449631827055e-08       8.241477137063e+43       2.837918531607e+44       2.837918531607e+44       9.459728438404e+43      -7.858193870743e+52       3.578085079457e-06       4.778552051878e+00 
       8.055387056366e+13       9.816459030321e-26       4.849425749853e-09       1.661273054174e+22       1.379901141108e+04       1.713016558301e-10       1.111563779114e+18       2.799527671712e-09       1.158576521413e+44       1.293458846743e+33       7.111697292255e+33       2.665939380292e+43       8.886464600973e+42       2.665939380292e+43       8.886464600973e+42       2.665939380292e+43       8.886464600973e+42       3.449631827055e-08       8.014698249385e+43       2.759828160523e+44       2.759828160523e+44       9.199427201464e+43      -7.588839824423e+52       3.697354582105e-06       4.624405211495e+00 
       7.999391317146e+13       9.954370463237e-26       4.882167559117e-09       1.638257179065e+22       1.379901141108e+04       1.725007674209e-10       1.103836920670e+18       2.819124365414e-09       1.126696229756e+44       1.266672097430e+33       6.964418348641e+33       2.592581321145e+43       8.641937737150e+42       2.592581321145e+43       8.641937737150e+42       2.592581321145e+43       8.641937737150e+42       3.449631827055e-08       7.794159585765e+43       2.683886584758e+44       2.683886584758e+44       8.946288615586e+43      -7.328718383389e+52       3.816624084754e-06       4.479892548636e+00 
       7.943784823382e+13       1.009421941387e-25       4.916728357784e-09       1.615560174178e+22       1.379901141108e+04       1.737082727928e-10       1.096163774250e+18       2.838858235972e-09       1.095693180972e+44       1.240440085472e+33       6.820189462747e+33       2.521241839345e+43       8.404139464484e+42       2.521241839345e+43       8.404139464484e+42       2.521241839345e+43       8.404139464484e+42       3.449631827055e-08       7.579689435348e+43       2.610034676391e+44       2.610034676391e+44       8.700115587700e+43      -7.077513083115e+52       3.935893587402e-06       4.344138228980e+00 
       7.888564869297e+13       1.023603310242e-25       4.951289156452e-09       1.593177621770e+22       1.379901141108e+04       1.749242307024e-10       1.088543966484e+18       2.858730243623e-09       1.065543236164e+44       1.214751322593e+33       6.678947469726e+33       2.451865390150e+43       8.172884633834e+42       2.451865390150e+43       8.172884633834e+42       2.451865390150e+43       8.172884633834e+42       3.449631827055e-08       7.371120812212e+43       2.538214934509e+44       2.538214934509e+44       8.460716448100e+43      -6.834918306481e+52       4.055163090050e-06       4.216369457539e+00 
       7.833728767922e+13       1.037983913148e-25       4.985849955119e-09       1.571105165303e+22       1.379901141108e+04       1.761487003173e-10       1.080977126598e+18       2.878741355329e-09       1.036222920661e+44       1.189594558435e+33       6.540630512834e+33       2.384397957229e+43       7.947993190765e+42       2.384397957229e+43       7.947993190765e+42       2.384397957229e+43       7.947993190765e+42       3.449631827055e-08       7.168291325346e+43       2.468371440442e+44       2.468371440442e+44       8.227904801214e+43      -6.600638911954e+52       4.174432592699e-06       4.095901758753e+00 
       7.779273850965e+13       1.052566549143e-25       5.020410753787e-09       1.549338508596e+22       1.379901141108e+04       1.773817412195e-10       1.073462886393e+18       2.898892544816e-09       1.007709405738e+44       1.164958775626e+33       6.405178016347e+33       2.318787010608e+43       7.729290035360e+42       2.318787010608e+43       7.729290035360e+42       2.318787010608e+43       7.729290035360e+42       3.449631827055e-08       6.971043052218e+43       2.400449814218e+44       2.400449814218e+44       8.001499380474e+43      -6.374389874519e+52       4.293702095347e-06       3.982126709898e+00 
